timestamp,ALT,AZ,CAS,overall
1765905628.0,STOPPED,ERROR,STOPPED,BUSY
1765905628.0,STOPPED,ERROR,STOPPED,BUSY
1765905628.0,STOPPED,ERROR,STOPPED,BUSY
1765905628.0,STOPPED,ERROR,STOPPED,BUSY
1765905628.0,STOPPED,ERROR,STOPPED,BUSY
1765905627.0,STOPPED,ERROR,STOPPED,BUSY
1765905627.0,STOPPED,ERROR,STOPPED,BUSY
1765905627.0,STOPPED,ERROR,STOPPED,BUSY
1765905627.0,STOPPED,ERROR,STOPPED,BUSY
1765905627.0,STOPPED,ERROR,STOPPED,BUSY
1765905626.0,STOPPED,ERROR,STOPPED,BUSY
1765905626.0,STOPPED,ERROR,STOPPED,BUSY
1765905626.0,STOPPED,ERROR,STOPPED,BUSY
1765905626.0,STOPPED,ERROR,STOPPED,BUSY
1765905626.0,STOPPED,ERROR,STOPPED,BUSY
1765905626.0,STOPPED,ERROR,STOPPED,BUSY
1765905625.0,STOPPED,ERROR,STOPPED,BUSY
1765905625.0,STOPPED,ERROR,STOPPED,BUSY
1765905625.0,STOPPED,ERROR,STOPPED,BUSY
1765905625.0,STOPPED,ERROR,STOPPED,BUSY
1765905625.0,STOPPED,ERROR,STOPPED,BUSY
1765905624.0,STOPPED,ERROR,STOPPED,BUSY
1765905624.0,STOPPED,ERROR,STOPPED,BUSY
1765905624.0,STOPPED,ERROR,STOPPED,BUSY
1765905624.0,STOPPED,ERROR,STOPPED,BUSY
1765905624.0,STOPPED,ERROR,STOPPED,BUSY
1765905623.0,STOPPED,ERROR,STOPPED,BUSY
1765905623.0,STOPPED,ERROR,STOPPED,BUSY
1765905623.0,STOPPED,ERROR,STOPPED,BUSY
1765905623.0,STOPPED,ERROR,STOPPED,BUSY
1765905623.0,STOPPED,ERROR,STOPPED,BUSY
1765905622.0,STOPPED,ERROR,STOPPED,BUSY
1765905622.0,STOPPED,ERROR,STOPPED,BUSY
1765905622.0,STOPPED,ERROR,STOPPED,BUSY
1765905622.0,STOPPED,ERROR,STOPPED,BUSY
1765905622.0,STOPPED,ERROR,STOPPED,BUSY
1765905621.0,STOPPED,ERROR,STOPPED,BUSY
1765905621.0,STOPPED,ERROR,STOPPED,BUSY
1765905621.0,STOPPED,ERROR,STOPPED,BUSY
1765905621.0,STOPPED,ERROR,STOPPED,BUSY
1765905621.0,STOPPED,ERROR,STOPPED,BUSY
1765905620.0,STOPPED,ERROR,STOPPED,BUSY
1765905620.0,STOPPED,ERROR,STOPPED,BUSY
1765905620.0,STOPPED,ERROR,STOPPED,BUSY
1765905620.0,STOPPED,ERROR,STOPPED,BUSY
1765905620.0,STOPPED,ERROR,STOPPED,BUSY
1765905619.0,STOPPED,ERROR,STOPPED,BUSY
1765905619.0,STOPPED,ERROR,STOPPED,BUSY
1765905619.0,STOPPED,ERROR,STOPPED,BUSY
1765905619.0,STOPPED,ERROR,STOPPED,BUSY
1765905619.0,STOPPED,ERROR,STOPPED,BUSY
1765905618.0,STOPPED,ERROR,STOPPED,BUSY
1765905618.0,STOPPED,ERROR,STOPPED,BUSY
1765905618.0,STOPPED,ERROR,STOPPED,BUSY
1765905618.0,STOPPED,ERROR,STOPPED,BUSY
1765905618.0,STOPPED,ERROR,STOPPED,BUSY
1765905617.0,STOPPED,ERROR,STOPPED,BUSY
1765905617.0,STOPPED,ERROR,STOPPED,BUSY
1765905617.0,STOPPED,ERROR,STOPPED,BUSY
1765905617.0,STOPPED,ERROR,STOPPED,BUSY
1765905617.0,STOPPED,ERROR,STOPPED,BUSY
1765905616.0,STOPPED,ERROR,STOPPED,BUSY
1765905616.0,STOPPED,ERROR,STOPPED,BUSY
1765905616.0,STOPPED,ERROR,STOPPED,BUSY
1765905616.0,STOPPED,ERROR,STOPPED,BUSY
1765905616.0,STOPPED,ERROR,STOPPED,BUSY
1765905615.0,STOPPED,ERROR,STOPPED,BUSY
1765905615.0,STOPPED,ERROR,STOPPED,BUSY
1765905615.0,STOPPED,ERROR,STOPPED,BUSY
1765905615.0,STOPPED,ERROR,STOPPED,BUSY
1765905615.0,STOPPED,ERROR,STOPPED,BUSY
1765905615.0,STOPPED,ERROR,STOPPED,BUSY
1765905614.0,STOPPED,ERROR,STOPPED,BUSY
1765905614.0,STOPPED,ERROR,STOPPED,BUSY
1765905614.0,STOPPED,ERROR,STOPPED,BUSY
1765905614.0,STOPPED,ERROR,STOPPED,BUSY
1765905614.0,STOPPED,ERROR,STOPPED,BUSY
1765905613.0,STOPPED,ERROR,STOPPED,BUSY
1765905613.0,STOPPED,ERROR,STOPPED,BUSY
1765905613.0,STOPPED,ERROR,STOPPED,BUSY
1765905613.0,STOPPED,ERROR,STOPPED,BUSY
1765905613.0,STOPPED,ERROR,STOPPED,BUSY
1765905612.0,STOPPED,ERROR,STOPPED,BUSY
1765905612.0,STOPPED,ERROR,STOPPED,BUSY
1765905612.0,STOPPED,ERROR,STOPPED,BUSY
1765905612.0,STOPPED,ERROR,STOPPED,BUSY
1765905612.0,STOPPED,ERROR,STOPPED,BUSY
1765905611.0,STOPPED,ERROR,STOPPED,BUSY
1765905611.0,STOPPED,ERROR,STOPPED,BUSY
